,food,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
sardine,0.0885240709255123,0.08561781123403508,0.0,0.0,0.11414406720843896,0.0,0.08235787055966304,0.0,0.11414406720843896,0.0,0.11414406720843896,0.05444835948586612
trout,0.07807701586631746,0.08634951459808365,0.0,0.0,0.086959958421766,0.0,0.0,0.0,0.08696041040413505,0.0,0.08696041040413505,0.03866430088131247
halibut,0.05287308156766109,0.05457744029940587,0.0,0.0,0.049333699437592915,0.0,0.0,0.0,0.049333699437592915,0.0,0.049333699437592915,0.023222874561804153
bass,0.046577086870914594,0.054104124296143655,0.04424037629624694,0.0,0.04969952335686989,0.0,0.0,0.0,0.049699685683193724,0.0,0.049699685683193724,0.026729134744232955
flounder,0.07674412166752347,0.08891882707608477,0.0,0.0,0.0819383071427308,0.0,0.0,0.0,0.0819383071427308,0.0,0.0819383071427308,0.03740707910652733
chicken,0.05020813987461159,0.0,0.0,0.0,0.042171714442417164,0.0,0.0,0.05278664640186648,0.042171297393765975,0.0,0.042171297393765975,0.020864463227857014
turkey,0.002283262253499263,0.0,0.0,0.0,0.0020627428864446956,0.0,0.0,0.0021354604219867464,0.002062701215776615,0.0,0.002062701215776615,0.0009642607266803579
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.003971239222499548,0.0,0.0,0.0,0.003913030514463474,0.0,0.0,0.003949160747754052,0.003913027177080216,0.004372967458137557,0.003913027177080216,0.002184768390637733
pickerel,0.016183353924410497,0.018986685492626974,0.0,0.0,0.025782965374741198,0.0,0.0,0.0,0.025782965374741198,0.0,0.025782965374741198,0.010228994140114644
quail,0.005765178950379389,0.0,0.0,0.0,0.00587097158862771,0.0,0.0,0.005722734932819246,0.005871070354155202,0.0,0.005871070354155202,0.002645547834557886
salmon,0.09513921322239854,0.08491669852577302,0.0,0.0,0.08564089351039314,0.0,0.0,0.0,0.08563672798053495,0.0,0.08563672798053495,0.039724569201784965
plaice,0.014099109473834553,0.016238193242143917,0.0,0.0,0.01875427842573696,0.0,0.0,0.0,0.01875427842573696,0.0,0.01875427842573696,0.007872739817562667
hare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mole,0.0016094924537680977,0.0,0.0,0.0,0.0016361477997161394,0.0029387058202731222,0.0,0.0,0.0016362985430053018,0.0027035774041792057,0.0016362985430053018,0.0011055018694497427
chow,0.005108400118657671,0.0,0.0,0.0,0.005067737315020081,0.010534969177046168,0.0,0.0,0.005067578199202984,0.0,0.005067578199202984,0.002804205728102717
torpedo,0.0034157887451171254,0.002807175642983923,0.005279593398767367,0.0037887050464638313,0.003265684352311675,0.0,0.0036420927677159104,0.0,0.0032700250780320753,0.0,0.0032700250780320753,0.0026126445554021803
char,0.0,0.020469615329974093,0.0,0.0,0.021790823278473762,0.0,0.02382301628062185,0.0,0.021790823278473762,0.0,0.021790823278473762,0.009969554676910656
smallmouth,0.0,0.03719618087756522,0.0,0.0,0.03948682820536612,0.0,0.0,0.0,0.039487686239822864,0.0,0.039487686239822864,0.014150761960234277
roach,0.0,0.0028268626482761206,0.0,0.0,0.00249938204717502,0.0,0.0,0.0,0.002499371422779696,0.0,0.002499371422779696,0.0009386352310009575
whiff,0.0,0.0020379292987453153,0.0,0.0,0.0025738538482715265,0.0,0.0,0.0,0.002575897184725988,0.0,0.002575897184725988,0.0008875979560426198
hind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0,0.0049360162550086475,0.0,0.0,0.005786327665547575,0.0,0.0,0.0,0.0057864348729850835,0.0,0.0057864348729850835,0.002026837606047854
permit,0.0,0.007816184529251168,0.013292915386174121,0.0,0.0093593632079893,0.0,0.0,0.0,0.009361607656832062,0.0,0.009361607656832062,0.004471970767007156
skate,0.0,0.002318275298197657,0.0,0.0,0.002747193000110482,0.0,0.0,0.0,0.0027461205252553122,0.0,0.0027461205252553122,0.000959791758983524
bull,0.0,0.0,0.0010383586152188289,0.000894526825625417,0.00071011734924343,0.0011826882226191307,0.0,0.0,0.0007101530480265859,0.0,0.0007101530480265859,0.0004769088280690889
pointer,0.0,0.0,0.00034038536761252176,0.0,0.00019990155169752783,0.000393626230531703,0.0,0.0,0.00019990155169752783,0.0,0.00019990155169752783,0.00012124693211243712
howler,0.0,0.0,0.004659348204952853,0.0,0.0033304883381543395,0.006436257305803354,0.0,0.0,0.0033304883381543395,0.0,0.0033304883381543395,0.0019170064113835663
creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.004372310873087294,0.003432953487848547,0.0,0.0,0.0,0.0034329631498489378,0.0,0.0034329631498489378,0.001333744605512156
rattlesnake,0.0,0.0,0.0,0.012550797279676623,0.015570579970293964,0.0,0.0,0.0,0.015570579970293964,0.0,0.015570579970293964,0.005387503380959865
tortoise,0.0,0.0,0.0,0.0049764688780926805,0.005377219652123571,0.0,0.0,0.0,0.0053772740915552205,0.0,0.0053772740915552205,0.0019189306103024265
leatherback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.016944070069205373,0.015824026985106394,0.0,0.0,0.0,0.015823254750491327,0.0,0.015823254750491327,0.005855873323208583
drill,0.0,0.0,0.0,0.001750120341256453,0.001593340212809029,0.002761818201988195,0.0,0.0,0.0015933903455100573,0.0,0.0015933903455100573,0.0008447326770067083
hackney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0012793963593027227,0.0010068182468434806,0.0022448460536796644,0.0,0.0,0.001006865207394244,0.0,0.001006865207394244,0.0005949810067831233
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crane,0.0,0.0,0.0,0.0,0.0021921740835101535,0.0,0.0,0.0022411457143717553,0.002192485351679367,0.0,0.002192485351679367,0.0008016627728400584
linnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.0,0.0,0.0,0.0,0.0061013077612706995,0.0,0.0,0.005383857121173048,0.0061013077612706995,0.0,0.0061013077612706995,0.002153434582271377
curlew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.001541801738152768,0.0,0.0,0.0019463614324689233,0.0015417975112835517,0.0,0.0015417975112835517,0.000597432563017163
egret,0.0,0.0,0.0,0.0,0.02851348898458036,0.0,0.0,0.023623114431798407,0.02851348898458036,0.0,0.02851348898458036,0.009923961944139954
robin,0.0,0.0,0.0,0.0,0.0001181312093698609,0.0,0.0,0.00014172505738595836,0.00011813099929232908,0.0,0.00011813099929232908,4.5101660485497946e-05
platypus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moose,0.0,0.0,0.0,0.0,0.009244875417373274,0.015007704388363729,0.0,0.0,0.009245892331599127,0.0,0.009245892331599127,0.003885851315357751
addax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0037315518912074226,0.006518832320309577,0.0,0.0,0.0037316237508790238,0.0,0.0037316237508790238,0.001610330155752277
hobby,0.0,0.0,0.0,0.0,0.008068481855657344,0.0,0.0,0.010023826480864362,0.008114537290429586,0.0,0.008114537290429586,0.0031201257197618986
bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.006625266912220608,0.011764731759631976,0.0,0.0,0.006624996397197738,0.0,0.006624996397197738,0.0028763628605680057
tabby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pachyderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0,0.0,0.0,0.0,0.0030920508821702824,0.0,0.0,0.003977933496479895,0.003092290139831902,0.0,0.003092290139831902,0.0012049604234830892
collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer,0.0,0.0,0.0,0.0,0.0021923820481157506,0.0,0.0,0.0029809557335524458,0.0021924499510908315,0.0,0.0021924499510908315,0.0008689306985318054
lynx,0.0,0.0,0.0,0.0,0.002214024784453325,0.0041007321164863355,0.0,0.0,0.002214024784453325,0.0,0.002214024784453325,0.0009766187699860283
human,0.0,0.0,0.0,0.0,0.0005715227749618481,0.0008634960559601132,0.0,0.0,0.0005715206596933307,0.0,0.0005715206596933307,0.00023436910457351118
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muskrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
painter,0.0,0.0,0.0,0.0,0.0009366149790740616,0.0018015089075383223,0.0,0.0,0.0009365157273605476,0.0,0.0009365157273605476,0.0004191959401212254
cow,0.0,0.0,0.0,0.0,0.00037976532259346437,0.0005387023097938903,0.0,0.0,0.0003797658183595237,0.0,0.0003797658183595237,0.000152545388100582
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.0,0.0,0.0,0.0,0.019468999783552373,0.029608270295473093,0.0,0.0,0.020309752511689424,0.0,0.020309752511689424,0.008154252282036756
sheep,0.0,0.0,0.0,0.0,0.0025068858037591113,0.004604313386874588,0.0,0.0,0.0025068542848347792,0.0,0.0025068542848347792,0.0011022643418457509
grade,0.0,0.0,0.0,0.0,0.001728474670830452,0.0031854587570645065,0.0019578199754722012,0.0,0.0017284769496813308,0.0028273366036247285,0.0017284769496813308,0.0011960039914867774
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mankind,0.0,0.0,0.0,0.0,0.0023080749360123963,0.003609313376029793,0.0,0.0,0.002309202270963743,0.0,0.002309202270963743,0.0009577993503608796
leopard,0.0,0.0,0.0,0.0,0.0034640409206156118,0.0053568387851315605,0.0033062550574642106,0.0,0.0034639719908497978,0.0,0.0034639719908497978,0.0017322798859009982
beaver,0.0,0.0,0.0,0.0,0.0005264207006280331,0.0006335043295810365,0.000598529938052269,0.0,0.0005264208492327347,0.0,0.0005264208492327347,0.0002555724242478916
whale,0.0,0.0,0.0,0.0,0.013788448887946538,0.023166244033434865,0.0,0.0,0.013788454404496917,0.0,0.013788454404496917,0.005866509248215929
ibex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.0,0.0,0.0,0.0,0.0021278748532132883,0.0032083666768582724,0.0,0.0,0.0021278099376843833,0.0,0.0021278099376843833,0.0008719874004945752
jade,0.0,0.0,0.0,0.0,0.0007631082241903081,0.0015603085233755283,0.0,0.0,0.0007631087248684301,0.0,0.0007631087248684301,0.0003499667452093361
bronc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.0,0.0,0.0,0.0,0.0062753553995424744,0.00980142551843241,0.0,0.0,0.006274259815895761,0.0,0.006274259815895761,0.0026023000499787643
humankind,0.0,0.0,0.0,0.0,0.0037535206398802198,0.005506211875601568,0.0,0.0,0.003753453287607944,0.0,0.003753453287607944,0.0015242399173361525
whippet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
