,animal,no-cat,measure,object,communication,vehicle,all,mean
scooter,0.011264403221774041,0.011264403221774041,0.0,0.007553752094065568,0.0,0.007953720919332495,0.007552611283045132,0.006512698677141611
racer,0.016689256895536093,0.016689256895536093,0.0,0.013727744711769895,0.0,0.01375474055136619,0.01372768558318722,0.010655526376770783
cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sidecar,0.0,0.013484782255603518,0.0,0.009722921317027946,0.0,0.0,0.00971827298438938,0.004703710936717264
carrier,0.0,0.0016512187655970873,0.0,0.0014635848438556678,0.0,0.0015783821287265686,0.0014634187004469949,0.0008795149198037598
suv,0.0,0.02611933171610428,0.0,0.0,0.0,0.0,0.017599899711965225,0.006245604489724215
wheelbase,0.0,0.035106158255422855,0.0,0.0,0.0,0.0,0.028791371902187585,0.009128218593944347
tank,0.0,0.0,0.0022574032019109765,0.0030200283841630917,0.0,0.0031953020629160315,0.0030202698749749223,0.0016418576462807176
stage,0.0,0.0,0.0002582209979388504,0.00020195234909323553,0.0,0.00019858841934206617,0.00020043615331470687,0.00012274255995555129
heap,0.0,0.0,0.0017319879195334313,0.0009463214430071445,0.001471972730691554,0.000909113812502981,0.0009339687127836871,0.0008561949455026856
bus,0.0,0.0,0.0,0.00659401505215755,0.0049970711570200945,0.006643331366328672,0.0065937914689698,0.0035468870063537308
truck,0.0,0.0,0.0,0.030027960518177427,0.0,0.029486423236587067,0.030027058135684286,0.012791634555778395
undercarriage,0.0,0.0,0.0,0.0007025968911125234,0.0,0.0,0.0007025873001859768,0.00020074059875692862
bicycle,0.0,0.0,0.0,0.022143318922203465,0.0,0.02266442115082894,0.022143545325400842,0.00956446934263332
hearse,0.0,0.0,0.0,0.00779798815119797,0.0,0.008490446418625263,0.007831250364349536,0.0034456692763103957
tram,0.0,0.0,0.0,0.003689270303930859,0.0,0.0036736394427879715,0.0036893371040916745,0.0015788924072586434
wagon,0.0,0.0,0.0,0.012850212042748282,0.0,0.012638531968102048,0.012847148963817353,0.00547655613923824
coupe,0.0,0.0,0.0,0.009431788758895747,0.0,0.009652034307705651,0.009431782454654078,0.004073657931607925
garage,0.0,0.0,0.0,0.022231204660912034,0.0,0.0,0.022235948560672573,0.006352450460226373
caravan,0.0,0.0,0.0,0.008488854591918437,0.0,0.00884135605130452,0.008488167786065792,0.003688339775612678
minivan,0.0,0.0,0.0,0.016908030537122313,0.0,0.015625118534765163,0.016910659215366344,0.0070634011838934035
vehicle,0.0,0.0,0.0,0.0283170539859194,0.0,0.029314796799411097,0.02831753028670489,0.01227848301029077
trailer,0.0,0.0,0.0,0.0019200468918684165,0.001457234544692925,0.0021038285266835946,0.0019203346807509926,0.0010573492348565615
motorbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coach,0.0,0.0,0.0,0.0001408672619842006,0.0,0.00014675670289920466,0.00014086255718435926,6.121236029539493e-05
unicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chassis,0.0,0.0,0.0,0.016491704180449554,0.0,0.0,0.016505987037478586,0.004713955888275449
cabriolet,0.0,0.0,0.0,0.008377428375693767,0.0,0.008475059226974248,0.008377615527128422,0.003604300447113777
motorcycle,0.0,0.0,0.0,0.03222606159570643,0.0,0.03291624707261309,0.032226009420090906,0.013909759726915775
cab,0.0,0.0,0.0,0.003954999082265997,0.0,0.004206680344075166,0.003954997963941515,0.0017309539128975253
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplane,0.0,0.0,0.0,0.04443324012777829,0.0,0.04717568389453297,0.044438684505716405,0.019435372646861095
snowmobile,0.0,0.0,0.0,0.01456470580433679,0.0,0.015474512608822532,0.014574236178578217,0.0063733506559625055
pram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roadster,0.0,0.0,0.0,0.02638433269874657,0.0,0.025211567583156683,0.026384292099534256,0.011140027483062502
van,0.0,0.0,0.0,0.0002842071139396266,0.0,0.0003069180878311654,0.00028419639019635804,0.00012504594170959288
dray,0.0,0.0,0.0,0.006478600100293205,0.0,0.007327337768481127,0.006478237894625089,0.002897739394771346
motorcar,0.0,0.0,0.0,0.089662248939162,0.0,0.1007800969179316,0.08961029248290224,0.04000751976285655
tractor,0.0,0.0,0.0,0.023088364568054343,0.0,0.024185134368787893,0.023088292547026032,0.010051684497695468
charabanc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0464496901078586,0.0,0.04813919591145032,0.046447824350246164,0.020148101481365012
stagecoach,0.0,0.0,0.0,0.002727502554366039,0.0,0.002792869253596704,0.0027264486377911075,0.0011781172065362644
limousine,0.0,0.0,0.0,0.020533392337202465,0.0,0.02004387893200523,0.020522798536351115,0.008728581400794116
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tramcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underframe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamliner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.0,0.2546002768990178,0.0,0.2602682896391801,0.2544457805493611,0.109902049583937
axle,0.0,0.0,0.0,0.00615661402668601,0.0,0.0,0.006156587872311766,0.0017590288427139678
runabout,0.0,0.0,0.0,0.03480185745028619,0.0,0.03683124604795856,0.034805155967931656,0.015205465638025202
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.003972838492851304,0.0,0.004098053395452842,0.003973301755697996,0.001720599092000306
bogie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorbike,0.0,0.0,0.0,0.028752941484261822,0.0,0.030386403278494532,0.02874477418931978,0.012554874136010877
taxicab,0.0,0.0,0.0,0.03865239373059582,0.0,0.039470528104771474,0.038652214868953386,0.016682162386331526
backhoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trolley,0.0,0.0,0.0,0.012473947410360566,0.0,0.012010627694717682,0.0124769522397791,0.005280218192122478
wheel,0.0,0.0,0.0,0.009783585514571773,0.0,0.010160135370763075,0.00978356055899131,0.004246754492046595
locomotive,0.0,0.0,0.0,0.0036683975354119837,0.0,0.003800529360599774,0.003668840662830606,0.001591109651263195
equipage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railcar,0.0,0.0,0.0,0.013773179417098498,0.0,0.014070388022211035,0.013773693338591356,0.005945322968271555
buggy,0.0,0.0,0.0,0.0421790419468512,0.0,0.04402572422130176,0.04219098066972829,0.018342249548268748
rickshaw,0.0,0.0,0.0,0.0038362649494615105,0.0,0.0038621695352553374,0.003836371757251585,0.0016478294631383475
phaeton,0.0,0.0,0.0,0.05843537095206976,0.0,0.06225490160465863,0.05843865903723947,0.025589847370566837
handcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxcart,0.0,0.0,0.0,0.03738786015093906,0.0,0.04029606562211608,0.03738786015093906,0.0164388265605706
luggage,0.0,0.0,0.0,0.008812116669953983,0.0,0.0,0.008789210241231665,0.002514475273026521
flatcar,0.0,0.0,0.0,0.04788536128927752,0.0,0.053207658487431725,0.04788536128927752,0.021282625866569538
train,0.0,0.0,0.0,0.00708389054660819,0.0,0.0,0.007083858882945295,0.0020239642042219263
jeep,0.0,0.0,0.0,0.010325837567137782,0.0,0.010155499804901734,0.010325621828245228,0.004400994171469249
machine,0.0,0.0,0.0,0.004330688075106531,0.0,0.004600281259414535,0.0043311554541774445,0.001894589255528359
stanhope,0.0,0.0,0.0,0.0014906125970696896,0.0,0.001511750075370265,0.0014906523304022232,0.0006418592861203111
auto,0.0,0.0,0.0,0.033578344750061606,0.0,0.03547996215033362,0.033573826260598835,0.014661733308713436
carriage,0.0,0.0,0.0,0.04166364286571707,0.0,0.04348987665331989,0.04166905978908785,0.018117511329732116
streetcar,0.0,0.0,0.0,0.02177551334416319,0.0,0.021948836359357158,0.021775394390911765,0.009357106299204587
saloon,0.0,0.0,0.0,0.011180980641995512,0.0,0.01149634932624703,0.011180809360505974,0.004836877046964074
cart,0.0,0.0,0.0,0.0034010057603224998,0.0,0.003462911882778621,0.003400970846141912,0.0014664126413204332
ambulance,0.0,0.0,0.0,0.0025771880832321822,0.0,0.002634491959207571,0.002577160270257855,0.0011126914732425153
pedicab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lorry,0.0,0.0,0.0,0.012333703930113175,0.0,0.012531765998191181,0.012338382493136336,0.005314836060205814
yacht,0.0,0.0,0.0,0.002990514570433005,0.0,0.002965524980320205,0.0029554901603636215,0.0012730756730166902
warship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battleship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,0.0,0.0,0.0,0.011873338836338232,0.0,0.0,0.011762978322365157,0.0033766167369576267
vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sleigh,0.0,0.0,0.0,0.0021645490377032563,0.0,0.00217320084000161,0.0021349207628797297,0.0009246672343692279
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0118541658649703,0.0,0.0,0.011721135565932031,0.0033679002044146185
frigate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diesel,0.0,0.0,0.0,0.003121740055975587,0.0,0.0,0.0031194015664560096,0.0008915916603473709
driver,0.0,0.0,0.0,0.011991444123563897,0.014226216509804152,0.0,0.01197901260137703,0.005456667604963583
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tugboat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0,0.0028576749111689404,0.0,0.0027817764476924128,0.0028292670982917496,0.0012098169224504433
winch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diner,0.0,0.0,0.0,0.0015171865836609468,0.0,0.001494388069295559,0.0014955216285379757,0.0006438708973563545
ship,0.0,0.0,0.0,0.0005444267001013235,0.0,0.0005334170903816135,0.0005388709557573707,0.0002309592494629011
trap,0.0,0.0,0.0,0.0005258594080619509,0.0,0.0005155906958880999,0.0005202127529539385,0.00022309469384342704
